addr,mode,bin,count,value,param1,param2,param3,param4,param5,param6
HD16,双字,总产量读写,1,,,,,,,
HSD4,双字,出料读,1,,,,,,,
HSD0,双字,送料读,1,,,,,,,
D4996,双字,料长读写,1,,,,,,,
M5,双字,启动写,1,,,,,,,
D4880,双字,切割完毕读写,1,,,,,,,
M14,双字,自动上料写,1,,,,,,,
M130,双字,复位写,1,,,,,,,
HM10,双字,自动测长标志读写,1,,,,测长打开,测长关闭,,
HD34,双字,刀补偿读写,1,,,,,,,
HD50,双字,料头补偿读写,1,,,,,,,
HD150,双字,安全距离读写,1,,,,,,,
M10,双字,启动读,1,,,,,,,
M131,双字,复位读,1,,,,,,,
M1100,双字,急停读,1,,,,,,,
HM2,双字,自动上料读,1,,,,,,,
M200,双字,自动测长读,1,,,,,,,
D101,双字,页面切换写,1,,,,,,,
M1300,双字,停止读写 ,1,,,,,,,
M1004,双字,报警1读,1,,,,变频器报警,,,
M1005 ,双字,报警2读,1,,,,伺服报警,,,
M1006,双字,报警3读,1,,,,送料正极限报警,,,
M1007,双字,报警4读,1,,,,送料负极限报警,,,
M1013,双字,报警5读,1,,,,防护门打开 停止中,,,
M1014,双字,报警6读,1,,,,出料正极限报警,,,
M1016,双字,报警7读,1,,,,检测轴负极限报警,,,
M1100,双字,报警8读,1,,,,急停中,,,
M1110,双字,报警9读,1,,,,上料架未下到位 请检查上料架汽缸和下到位开关,,,
M1111,双字,报警10读,1,,,,锯料汽缸未下到位 请查看锯料汽缸好下限开关,,,
M1112,双字,报警11读,1,,,,锯料汽缸未上到位 请查看锯料汽缸和上限开关,,,
M1113,双字,报警12读,1,,,,打印未出纸或未吸住 请检查,,,
M1114 ,双字,报警13读,1,,,,条码水平汽缸未在原位  请检查水平汽缸和开关,,,
M1115,双字,报警14读,1,,,,条码进退汽缸未出到位  请检查水平汽缸和开关,,,
M1116,双字,报警15读,1,,,,条码下压汽缸未退回到位 请检查水平汽缸和开关,,,
M1117,双字,报警16读,1,,,,条码水平汽缸未退回到位 请检查水平汽缸和开关,,,
