addr,mode,bin,count,value,param1,param2,param3,param4,param5,param6
HD16,双字,HD16,1,,,,HD16,,,
D4880,双字,D4880,1,,,,D4880,,,
D4996,双字,D4882,1,,,,D4882,,,
D500,双字,D500,1,,,,D500,,,
HD30,双字,HD30,1,,,,HD30,,,
HD45,双字,HD45,1,,,,HD45,,,
M0,双字,M0,1,,,,M0,,,
M2,双字,M2,1,,,,M2,,,
M3,双字,M3,1,,,,M3,,,
M10,双字,M10,1,,,,M10,,,
HM4,双字,HM4,1,,,,HM4,,,
Y0,1字,Y0,1,,,,Y0,,,
Y1,双字,Y1,1,,,,Y1,,,
Y2,双字,Y2,1,,,,Y2,,,
Y3,双字,Y3,1,,,,Y3,,,
Y4,双字,Y4,1,,,,Y4,,,
Y5,双字,Y5,1,,,,Y5,,,
Y6,双字,Y6,1,,,,Y6,,,
Y7,双字,Y7,1,,,,Y7,,,
Y10,双字,Y10,1,,,,Y10,,,
Y11,双字,Y11,1,,,,Y11,,,
Y12,双字,Y12,1,,,,Y12,,,
Y13,双字,Y13,1,,,,Y13,,,
Y14,双字,Y14,1,,,,Y14,,,
Y15,双字,Y15,1,,,,Y15,,,
Y16,双字,Y16,1,,,,Y16,,,
Y17,双字,Y17,1,,,,Y17,,,
Y20,双字,Y20,1,,,,Y20,,,
Y21,双字,Y21,1,,,,Y21,,,
Y22,双字,Y22,1,,,,Y22,,,
Y23,双字,Y23,1,,,,Y23,,,
Y24,双字,Y24,1,,,,Y24,,,
Y25,双字,Y25,1,,,,Y25,,,
Y26,双字,Y26,1,,,,Y26,,,
Y27,双字,Y27,1,,,,Y27,,,
HD20,双字,HD20,1,,,,HD20,,,
HD22,双字,HD22,1,,,,HD22,,,
HD24,双字,HD23,1,,,,HD24,,,
HD26,双字,HD20,1,,,,HD26,,,
D6000,双字,D4880,1,,,,D4880,,,
D7000,双字,D4882,1,,,,D4882,,,
D6067,双字,D4880,1,,,,D4880,,,
D7032,双字,D4882,1,,,,D4882,,,
D6012,双字,D4880,1,,,,D4880,,,
D7020,双字,D4882,1,,,,D4882,,,
D6200,双字,D4880,1,,,,D4880,,,
D7008,双字,D4882,1,,,,D4882,,,
X0,双字,A,,,,,,,,
X1,双字,B,,,,,,,,
X2,双字,送料负限位 NC,,,,,,,,
X3,双字,检测激光头,,,,,,,,
X4,双字,锯料气缸上限 NC,,,,,,,,
X5,双字,上料架下限 ,,,,,,,,
X6,双字,面板急停 NC,,,,,,,,
X7,双字,面板启动,,,,,,,,
X10,双字,面板暂停 NC,,,,,,,,
X12,双字,,,,,,,,,
X13,双字,条码吸住检测,,,,,,,,
X14,双字,下压气缸退回到位,,,,,,,,
X15,双字,伺服报警,,,,,,,,
X16,双字,锯料汽缸下限,,,,,,,,
X17,双字,,,,,,,,,
X20,双字,,,,,,,,,
X21,双字,上料架检测1,,,,,,,,
X22,双字,锯料原点,,,,,,,,
X23,双字,切料正限位NC,,,,,,,,
X24,双字,负限位NC,,,,,,,,
X25,双字,,,,,,,,,
X26,双字,条码气缸下压到位,,,,,,,,
X27,双字,条码气缸原位,,,,,,,,
X30,双字,出料原点NC,,,,,,,,
X31,双字,,,,,,,,,
X32,双字,出料正极限NC ,,,,,,,,
X33,双字,检测原点 NC,,,,,,,,
X34,双字,变频器报警 NC,,,,,,,,
X35,双字,送料轴原点 NC,,,,,,,,
X36,双字,条码出到位,,,,,,,,
X37,双字,检测负限位 NC,,,,,,,,
X40,双字,切料压料到位,,,,,,,,
X41,双字,安全门开关 NC,,,,,,,,
X42,双字,,,,,,,,,
X43,双字,送料正极限NC,,,,,,,,
,双字,,,,,,,,,
Y0,双字,送料PUL,,,,,,,,
Y1,双字,拉料伺服p,,,,,,,,
Y2,双字,锯料伺服P,,,,,,,,
Y3,双字,上料伺服P,,,,,,,,
Y4,双字,检测伺服脉冲,,,,,,,,
Y5,双字,送料上压,,,,,,,,
Y6,双字,备用,,,,,,,,
Y7,双字,电机启动,,,,,,,,
Y10,双字,切料压料,,,,,,,,
Y11,双字,锯料上下切,,,,,,,,
Y12,双字,切料侧压左,,,,,,,,
Y13,双字,,,,,,,,,
Y14,双字,锯料右侧压,,,,,,,,
Y15,双字,条码水平气缸,,,,,,,,
Y16,双字,出料电机正转,,,,,,,,
Y17,双字,条码吹尘阀,,,,,,,,
Y20,双字,条码吹气阀,,,,,,,,
Y21,双字,条码下压气缸,,,,,,,,
Y22,双字,上料架升降,,,,,,,,
Y23,双字,条码吸附,,,,,,,,
Y24,双字,上料架1方向,,,,,,,,
Y25,双字,锯料伺服方向 ,,,,,,,,
Y26,双字,送料伺服方向,,,,,,,,
Y27,双字,出料伺服方向,,,,,,,,
,双字,,,,,,,,,
Y10000,双字,红灯,,,,,,,,
Y10001,双字,绿灯,,,,,,,,
Y10002,双字,黄灯,,,,,,,,
Y10003,双字,上料架检测吹尘,,,,,,,,
Y10004,双字,出料夹料,,,,,,,,
Y10005,双字,,,,,,,,,
Y10006,双字,送料侧压,,,,,,,,
