addr,mode,bin,count,value,param1,param2,param3,param4,param5,param6
HD0,双字,写读,1,,,,纵切切刀伺服手动速度,,,
HD2,双字,写读,1,,,,龙门伺服手动速度,,,
HD4,双字,写读,1,,,,纵切推料伺服手动速度,,,
HD6,双字,写读,1,,,,横切送料伺服手动速度,,,
HD8,双字,写读,1,,,,横切侧靠伺服手动速度,,,
HD10,双字,写读,1,,,,横切刀伺服手动速度,,,
HSD0,双字,读,1,,,,纵切刀伺服位置,,,
HSD4,双字,读,1,,,,龙门伺服位置,,,
HSD12,双字,读,1,,,,纵切推料伺服位置,,,
HSD16,双字,读,1,,,,横切送料伺服位置,,,
HSD20,双字,读,1,,,,横切侧靠伺服位置,,,
HSD24,双字,读,1,,,,横切刀伺服位置,,,
M100,位,写,1,,,,纵切刀伺服正传,,,
M101,位,写,1,,,,纵切刀伺服反传,,,
M102,位,写,1,,,,龙门伺服正传,,,
M103,位,写,1,,,,龙门伺服反传,,,
M106,位,写,1,,,,纵切推料伺服正传,,,
M107,位,写,1,,,,纵切推料伺服反传,,,
M108,位,写,1,,,,横切送料伺服正传,,,
M109,位,写,1,,,,横切送料伺服反传,,,
M110,位,写,1,,,,横切侧靠伺服正传,,,
M111,位,写,1,,,,横切侧靠伺服反传,,,
M112,位,写,1,,,,横切刀伺服正传,,,
M113,位,写,1,,,,横切刀伺服反传,,,
M114,位,写,1,,,,纵切前送料电机,,,
M115,位,写,1,,,,纵切后出料电机,,,
M116,位,写,1,,,,废料传送电机,,,
M117,位,写,1,,,,纵切切刀电机,,,
M118,位,写,1,,,,纵切切刀气缸,,,
M119,位,写,1,,,,纵切前压料,,,
M122,位,写,1,,,,纵切后压料,,,
M123,位,写,1,,,,龙门切料定位气缸,,,
M124,位,写,1,,,,纵切推料伺服前推料,,,
M125,位,写,1,,,,纵切推料伺服后推料,,,
M126,位,写,1,,,,纵切挡料气缸,,,
M127,位,写,1,,,,横切传送带升降气缸,,,
M128,位,写,1,,,,横切送料推料气缸升降,,,
M129,位,写,1,,,,侧靠侧压夹紧,,,
M130,位,写,1,,,,料定位气缸下降,,,
M131,位,写,1,,,,横切送料夹料,,,
M132,位,写,1,,,,横切后压料气缸,,,
M133,位,写,1,,,,横切刀升降气缸,,,
M134,位,写,1,,,,后传送带升降气缸,,,
M135,位,写,1,,,,横切送料传送电机,,,
M136,位,写,1,,,,横切刀电机,,,
M137,位,写,1,,,,横切尾料出料传送电机,,,
HD12,双字,写读,1,,,,纵切刀伺服复位速度,,,
HD14,双字,写读,1,,,,龙门复位速度,,,
HD16,双字,写读,1,,,,纵切推料伺服复位速度,,,
HD18,双字,写读,1,,,,横切送料伺服复位速度,,,
HD20,双字,写读,1,,,,横切侧靠伺服复位速度,,,
HD22,双字,写读,1,,,,横切刀伺服复位速度,,,
HD24,双字,写读,1,,,,龙门定位自动速度,,,
HD40,双字,写读,1,,,,纵切推料伺服自动速度,,,
HD34,双字,写读,1,,,,横切送料伺服定位速度,,,
HD26,双字,写读,1,,,,纵切刀伺服自动速度,,,
HD28,双字,写读,1,,,,纵切刀伺服返回速度,,,
HD36,双字,写读,1,,,,横切送料伺服自动速度,,,
HD38,双字,写读,1,,,,横切侧靠伺服自动速度,,,
HD30,双字,写读,1,,,,横切刀伺服自动速度,,,
HD32,双字,写读,1,,,,横切刀伺服返回速度,,,
D5000,双字,写读,1,,,,这个地址开始发送数据,,,
D5002,双字,写读,1,,,,切的数量,,,
D5004,双字,写读,1,,,,切的宽度起始地址,,,
D7000,双字,写读,1,,,,这个地址开始发送数据长的数据,,,
D7002,双字,写读,1,,,,切的数量,,,
D7004,双字,写读,1,,,,切的长度的起始地址,,,
,,,,,,,,,,
HD140,双字,写读,1,,,,纵切后推料极限距离,,,
HD108,双字,写读,1,,,,龙门定位气缸零点到切刀距离,,,
HD106,双字,写读,1,,,,侧靠伺服原点距离侧板靠山距离,,,
HD110,双字,写读,1,,,,纵切刀伺服切料距离,,,
HD114,双字,写读,1,,,,横切刀伺服切料距离,,,
HD100,双字,写读,1,,,,横切送料伺服定位推送距离,,,
HD150,双字,读,1,,,,总产量,,,
HD112,双字,读,1,,,,纵切料长,,,
HD144,双字,读,1,,,,纵切出料推送距离,,,
HD90,双字,读,1,,,,纵切上料料宽度,,,
HD94,双字,读,1,,,,锯片补偿,,,
HD118,双字,读,1,,,,纵切前推料零点距离切刀距离,,,
HD102,双字,读,1,,,,横切定位气缸到送料伺服原点距离,,,
HD104,双字,读,1,,,,补偿,,,
HD116,双字,读,1,,,,横切料长,,,
HD120,双字,读,1,,,,送料延时参数,,,
HD124,双字,读,1,,,,废料传送延时,,,
HD126,双字,读,1,,,,横切送料传送电机延时,,,
HD146,双字,读,1,,,,横切定位气缸距离锯片距离,,,
,,,,,,,,,,
D2000,双字,写读,,,,,计数,,,
M1003,位,报警1,1,,,,,,,
M1004,位,报警2,1,,,,,,,
M1005,位,报警3,1,,,,伺服报警,,,
M1006,位,报警4,1,,,,纵切刀变频器报警,,,
M1007,位,报警5,1,,,,纵切前送料变频器报警,,,
M1008,位,报警6,1,,,,纵切后送料变频器报警,,,
M1009,位,报警7,1,,,,横切送料变频器报警,,,
M1010,位,报警9,1,,,,横切刀变频器报警,,,
,位,报警10,1,,,,,,,
,位,报警11,1,,,,,,,
,位,报警12,1,,,,,,,
,位,报警13,1,,,,,,,
,位,报警14,1,,,,,,,
,位,报警15,1,,,,,,,
,位,报警16,1,,,,,,,
